------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          5.23844e-26
          0.00502513,          2.99459e-10
           0.0100503,          5.97524e-10
           0.0150754,          8.92827e-10
           0.0201005,          1.18405e-09
           0.0251256,          1.46996e-09
           0.0301508,          1.74941e-09
           0.0351759,          2.02136e-09
            0.040201,           2.2849e-09
           0.0452261,          2.53928e-09
           0.0502513,          2.78385e-09
           0.0552764,          3.01811e-09
           0.0603015,          3.24173e-09
           0.0653266,          3.45447e-09
           0.0703518,          3.65623e-09
           0.0753769,          3.84703e-09
            0.080402,          4.02699e-09
           0.0854271,          4.19631e-09
           0.0904523,          4.35527e-09
           0.0954774,          4.50423e-09
            0.100503,          4.64359e-09
            0.105528,          4.77378e-09
            0.110553,          4.89529e-09
            0.115578,          5.00862e-09
            0.120603,          5.11428e-09
            0.125628,           5.2128e-09
            0.130653,          5.30471e-09
            0.135678,          5.39053e-09
            0.140704,           5.4708e-09
            0.145729,          5.54602e-09
            0.150754,          5.61671e-09
            0.155779,          5.68336e-09
            0.160804,          5.74646e-09
            0.165829,           5.8065e-09
            0.170854,          5.86393e-09
            0.175879,          5.91922e-09
            0.180905,          5.97282e-09
             0.18593,          6.02516e-09
            0.190955,          6.07668e-09
             0.19598,           6.1278e-09
            0.201005,          6.17894e-09
             0.20603,           6.2305e-09
            0.211055,          6.28288e-09
             0.21608,          6.33648e-09
            0.221106,          6.39166e-09
            0.226131,          6.44879e-09
            0.231156,          6.50819e-09
            0.236181,          6.57019e-09
            0.241206,          6.63505e-09
            0.246231,          6.70304e-09
            0.251256,          6.77435e-09
            0.256281,          6.84913e-09
            0.261307,          6.92748e-09
            0.266332,          7.00943e-09
            0.271357,          7.09498e-09
            0.276382,          7.18401e-09
            0.281407,          7.27638e-09
            0.286432,          7.37186e-09
            0.291457,          7.47018e-09
            0.296482,            7.571e-09
            0.301508,          7.67395e-09
            0.306533,          7.77863e-09
            0.311558,          7.88461e-09
            0.316583,          7.99147e-09
            0.321608,          8.09877e-09
            0.326633,           8.2061e-09
            0.331658,          8.31308e-09
            0.336683,          8.41937e-09
            0.341709,          8.52464e-09
            0.346734,          8.62865e-09
            0.351759,          8.73116e-09
            0.356784,          8.83202e-09
            0.361809,          8.93108e-09
            0.366834,          9.02826e-09
            0.371859,          9.12352e-09
            0.376884,          9.21684e-09
             0.38191,          9.30823e-09
            0.386935,          9.39774e-09
             0.39196,          9.48542e-09
            0.396985,          9.57135e-09
             0.40201,          9.65564e-09
            0.407035,          9.73837e-09
             0.41206,          9.81968e-09
            0.417085,           9.8997e-09
            0.422111,          9.97857e-09
            0.427136,          1.00564e-08
            0.432161,          1.01335e-08
            0.437186,          1.02098e-08
            0.442211,          1.02857e-08
            0.447236,          1.03613e-08
            0.452261,          1.04369e-08
            0.457286,          1.05126e-08
            0.462312,          1.05886e-08
            0.467337,          1.06653e-08
            0.472362,          1.07428e-08
            0.477387,          1.08213e-08
            0.482412,          1.09012e-08
            0.487437,          1.09826e-08
            0.492462,          1.10658e-08
            0.497487,           1.1151e-08
            0.502513,          1.12383e-08
            0.507538,           1.1328e-08
            0.512563,          1.14201e-08
            0.517588,          1.15149e-08
            0.522613,          1.16123e-08
            0.527638,          1.17124e-08
            0.532663,          1.18153e-08
            0.537688,          1.19209e-08
            0.542714,           1.2029e-08
            0.547739,          1.21396e-08
            0.552764,          1.22525e-08
            0.557789,          1.23674e-08
            0.562814,          1.24841e-08
            0.567839,          1.26023e-08
            0.572864,          1.27217e-08
            0.577889,          1.28419e-08
            0.582915,          1.29625e-08
             0.58794,          1.30833e-08
            0.592965,          1.32037e-08
             0.59799,          1.33235e-08
            0.603015,          1.34422e-08
             0.60804,          1.35597e-08
            0.613065,          1.36755e-08
             0.61809,          1.37895e-08
            0.623116,          1.39013e-08
            0.628141,          1.40109e-08
            0.633166,           1.4118e-08
            0.638191,          1.42227e-08
            0.643216,          1.43247e-08
            0.648241,          1.44241e-08
            0.653266,          1.45208e-08
            0.658291,           1.4615e-08
            0.663317,          1.47066e-08
            0.668342,          1.47958e-08
            0.673367,          1.48825e-08
            0.678392,           1.4967e-08
            0.683417,          1.50492e-08
            0.688442,          1.51294e-08
            0.693467,          1.52076e-08
            0.698492,          1.52839e-08
            0.703518,          1.53585e-08
            0.708543,          1.54313e-08
            0.713568,          1.55027e-08
            0.718593,          1.55725e-08
            0.723618,           1.5641e-08
            0.728643,          1.57082e-08
            0.733668,          1.57742e-08
            0.738693,          1.58392e-08
            0.743719,          1.59032e-08
            0.748744,          1.59664e-08
            0.753769,          1.60289e-08
            0.758794,          1.60907e-08
            0.763819,          1.61522e-08
            0.768844,          1.62132e-08
            0.773869,          1.62741e-08
            0.778894,          1.63349e-08
             0.78392,          1.63959e-08
            0.788945,           1.6457e-08
             0.79397,          1.65186e-08
            0.798995,          1.65807e-08
             0.80402,          1.66435e-08
            0.809045,          1.67072e-08
             0.81407,          1.67719e-08
            0.819095,          1.68377e-08
            0.824121,          1.69048e-08
            0.829146,          1.69734e-08
            0.834171,          1.70434e-08
            0.839196,          1.71152e-08
            0.844221,          1.71887e-08
            0.849246,           1.7264e-08
            0.854271,          1.73412e-08
            0.859296,          1.74204e-08
            0.864322,          1.75014e-08
            0.869347,          1.75844e-08
            0.874372,          1.76693e-08
            0.879397,          1.77559e-08
            0.884422,          1.78442e-08
            0.889447,           1.7934e-08
            0.894472,          1.80252e-08
            0.899497,          1.81176e-08
            0.904523,           1.8211e-08
            0.909548,          1.83051e-08
            0.914573,          1.83997e-08
            0.919598,          1.84945e-08
            0.924623,          1.85893e-08
            0.929648,          1.86839e-08
            0.934673,          1.87781e-08
            0.939698,          1.88715e-08
            0.944724,           1.8964e-08
            0.949749,          1.90555e-08
            0.954774,          1.91457e-08
            0.959799,          1.92345e-08
            0.964824,          1.93218e-08
            0.969849,          1.94075e-08
            0.974874,          1.94915e-08
            0.979899,          1.95738e-08
            0.984925,          1.96544e-08
             0.98995,          1.97332e-08
            0.994975,          1.98102e-08
                   1,          1.98854e-08

