------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          3.64545e-46
          0.00502513,          7.56129e-09
           0.0100503,          1.08998e-08
           0.0150754,          1.18457e-08
           0.0201005,           1.2077e-08
           0.0251256,          1.21315e-08
           0.0301508,          1.21442e-08
           0.0351759,          1.21472e-08
            0.040201,          1.21479e-08
           0.0452261,           1.2148e-08
           0.0502513,          1.21481e-08
           0.0552764,          1.21481e-08
           0.0603015,          1.21481e-08
           0.0653266,          1.21481e-08
           0.0703518,          1.21481e-08
           0.0753769,          1.21481e-08
            0.080402,          1.21481e-08
           0.0854271,          1.21481e-08
           0.0904523,          1.21481e-08
           0.0954774,          1.21481e-08
            0.100503,          1.21481e-08
            0.105528,          1.21481e-08
            0.110553,          1.21481e-08
            0.115578,          1.21481e-08
            0.120603,          1.21481e-08
            0.125628,          1.21481e-08
            0.130653,          1.21481e-08
            0.135678,          1.21481e-08
            0.140704,          1.21481e-08
            0.145729,          1.21481e-08
            0.150754,          1.21481e-08
            0.155779,          1.21481e-08
            0.160804,          1.21481e-08
            0.165829,          1.21481e-08
            0.170854,          1.21481e-08
            0.175879,          1.21481e-08
            0.180905,          1.21481e-08
             0.18593,          1.21481e-08
            0.190955,          1.21481e-08
             0.19598,          1.21481e-08
            0.201005,          1.21481e-08
             0.20603,          1.21481e-08
            0.211055,          1.21481e-08
             0.21608,          1.21481e-08
            0.221106,          1.21481e-08
            0.226131,          1.21481e-08
            0.231156,          1.21481e-08
            0.236181,          1.21481e-08
            0.241206,          1.21481e-08
            0.246231,          1.21481e-08
            0.251256,          1.21481e-08
            0.256281,          1.21481e-08
            0.261307,          1.21483e-08
            0.266332,          1.21488e-08
            0.271357,           1.2151e-08
            0.276382,          1.21607e-08
            0.281407,           1.2202e-08
            0.286432,           1.2377e-08
            0.291457,          1.30764e-08
            0.296482,          1.53318e-08
            0.301508,          1.94543e-08
            0.306533,          2.26026e-08
            0.311558,          2.37677e-08
            0.316583,           2.4077e-08
            0.321608,          2.41514e-08
            0.326633,          2.41689e-08
            0.331658,          2.41729e-08
            0.336683,          2.41739e-08
            0.341709,          2.41741e-08
            0.346734,          2.41741e-08
            0.351759,          2.41742e-08
            0.356784,          2.41742e-08
            0.361809,          2.41743e-08
            0.366834,          2.41749e-08
            0.371859,          2.41775e-08
            0.376884,          2.41886e-08
             0.38191,          2.42358e-08
            0.386935,          2.44346e-08
             0.39196,          2.52174e-08
            0.396985,          2.76448e-08
             0.40201,          3.17438e-08
            0.407035,           3.4613e-08
             0.41206,           3.5623e-08
            0.417085,          3.58867e-08
            0.422111,          3.59498e-08
            0.427136,          3.59646e-08
            0.432161,           3.5968e-08
            0.437186,          3.59688e-08
            0.442211,           3.5969e-08
            0.447236,           3.5969e-08
            0.452261,          3.59691e-08
            0.457286,          3.59691e-08
            0.462312,          3.59691e-08
            0.467337,          3.59691e-08
            0.472362,          3.59691e-08
            0.477387,          3.59691e-08
            0.482412,          3.59694e-08
            0.487437,          3.59705e-08
            0.492462,          3.59749e-08
            0.497487,          3.59878e-08
            0.502513,           3.6008e-08
            0.507538,           3.6021e-08
            0.512563,          3.60253e-08
            0.517588,          3.60264e-08
            0.522613,          3.60267e-08
            0.527638,          3.60268e-08
            0.532663,          3.60268e-08
            0.537688,          3.60268e-08
            0.542714,          3.60268e-08
            0.547739,          3.60268e-08
            0.552764,          3.60268e-08
            0.557789,          3.60268e-08
            0.562814,          3.60269e-08
            0.567839,          3.60272e-08
            0.572864,          3.60284e-08
            0.577889,          3.60336e-08
            0.582915,          3.60516e-08
             0.58794,          3.60929e-08
            0.592965,          3.61438e-08
             0.59799,          3.62021e-08
            0.603015,          3.62681e-08
             0.60804,          3.63056e-08
            0.613065,          3.63177e-08
             0.61809,          3.63207e-08
            0.623116,          3.63214e-08
            0.628141,          3.63216e-08
            0.633166,          3.63217e-08
            0.638191,          3.63217e-08
            0.643216,          3.63217e-08
            0.648241,          3.63217e-08
            0.653266,          3.63217e-08
            0.658291,          3.63217e-08
            0.663317,          3.63219e-08
            0.668342,          3.63229e-08
            0.673367,          3.63268e-08
            0.678392,          3.63439e-08
            0.683417,          3.64164e-08
            0.688442,          3.67182e-08
            0.693467,          3.78549e-08
            0.698492,          4.09272e-08
            0.703518,          4.49545e-08
            0.708543,          4.71756e-08
            0.713568,          4.78981e-08
            0.718593,           4.8101e-08
            0.723618,          4.81535e-08
            0.728643,          4.81662e-08
            0.733668,          4.81692e-08
            0.738693,          4.81699e-08
            0.743719,          4.81701e-08
            0.748744,          4.81701e-08
            0.753769,          4.81701e-08
            0.758794,          4.81701e-08
            0.763819,          4.81701e-08
            0.768844,          4.81701e-08
            0.773869,          4.81702e-08
            0.778894,          4.81703e-08
             0.78392,          4.81708e-08
            0.788945,          4.81727e-08
             0.79397,          4.81793e-08
            0.798995,          4.81959e-08
             0.80402,          4.82158e-08
            0.809045,          4.82258e-08
             0.81407,          4.82289e-08
            0.819095,          4.82296e-08
            0.824121,          4.82298e-08
            0.829146,          4.82298e-08
            0.834171,          4.82298e-08
            0.839196,          4.82298e-08
            0.844221,          4.82298e-08
            0.849246,          4.82298e-08
            0.854271,          4.82298e-08
            0.859296,          4.82299e-08
            0.864322,          4.82299e-08
            0.869347,          4.82299e-08
            0.874372,            4.823e-08
            0.879397,          4.82303e-08
            0.884422,          4.82318e-08
            0.889447,          4.82378e-08
            0.894472,          4.82596e-08
            0.899497,          4.83122e-08
            0.904523,          4.83699e-08
            0.909548,          4.83974e-08
            0.914573,          4.84058e-08
            0.919598,           4.8408e-08
            0.924623,          4.84085e-08
            0.929648,          4.84087e-08
            0.934673,          4.84087e-08
            0.939698,          4.84087e-08
            0.944724,          4.84087e-08
            0.949749,          4.84087e-08
            0.954774,          4.84087e-08
            0.959799,          4.84087e-08
            0.964824,          4.84087e-08
            0.969849,          4.84087e-08
            0.974874,          4.84087e-08
            0.979899,          4.84087e-08
            0.984925,          4.84088e-08
             0.98995,           4.8409e-08
            0.994975,          4.84098e-08
                   1,          4.84127e-08

