------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          -3.1158e-24
          0.00502513,          2.76686e-09
           0.0100503,          4.59837e-09
           0.0150754,          5.50441e-09
           0.0201005,          5.88842e-09
           0.0251256,           6.0404e-09
           0.0301508,           6.0989e-09
           0.0351759,          6.12119e-09
            0.040201,          6.12964e-09
           0.0452261,          6.13284e-09
           0.0502513,          6.13405e-09
           0.0552764,          6.13451e-09
           0.0603015,          6.13468e-09
           0.0653266,          6.13475e-09
           0.0703518,          6.13477e-09
           0.0753769,          6.13478e-09
            0.080402,          6.13479e-09
           0.0854271,          6.13479e-09
           0.0904523,          6.13479e-09
           0.0954774,          6.13479e-09
            0.100503,          6.13479e-09
            0.105528,          6.13479e-09
            0.110553,          6.13479e-09
            0.115578,          6.13479e-09
            0.120603,          6.13479e-09
            0.125628,          6.13479e-09
            0.130653,          6.13479e-09
            0.135678,          6.13479e-09
            0.140704,          6.13479e-09
            0.145729,          6.13479e-09
            0.150754,          6.13479e-09
            0.155779,          6.13479e-09
            0.160804,          6.13479e-09
            0.165829,          6.13479e-09
            0.170854,          6.13479e-09
            0.175879,          6.13479e-09
            0.180905,          6.13479e-09
             0.18593,          6.13479e-09
            0.190955,          6.13479e-09
             0.19598,          6.13479e-09
            0.201005,          6.13479e-09
             0.20603,          6.13479e-09
            0.211055,          6.13479e-09
             0.21608,          6.13479e-09
            0.221106,          6.13479e-09
            0.226131,          6.13479e-09
            0.231156,          6.13479e-09
            0.236181,          6.13479e-09
            0.241206,          6.13479e-09
            0.246231,          6.13479e-09
            0.251256,          6.13479e-09
            0.256281,          6.13479e-09
            0.261307,          6.13479e-09
            0.266332,          6.13479e-09
            0.271357,          6.13479e-09
            0.276382,          6.13479e-09
            0.281407,          6.13479e-09
            0.286432,          6.13479e-09
            0.291457,          6.13479e-09
            0.296482,          6.13479e-09
            0.301508,          6.13479e-09
            0.306533,          6.13479e-09
            0.311558,          6.13479e-09
            0.316583,          6.13479e-09
            0.321608,          6.13479e-09
            0.326633,          6.13479e-09
            0.331658,          6.13479e-09
            0.336683,           6.1348e-09
            0.341709,          6.13483e-09
            0.346734,          6.13489e-09
            0.351759,          6.13506e-09
            0.356784,          6.13551e-09
            0.361809,          6.13669e-09
            0.366834,           6.1398e-09
            0.371859,          6.14801e-09
            0.376884,          6.16949e-09
             0.38191,          6.22491e-09
            0.386935,          6.36229e-09
             0.39196,          6.67144e-09
            0.396985,          7.23763e-09
             0.40201,          7.96896e-09
            0.407035,          8.58279e-09
             0.41206,          8.93757e-09
            0.417085,          9.10016e-09
            0.422111,           9.1667e-09
            0.427136,          9.19266e-09
            0.432161,           9.2026e-09
            0.437186,          9.20638e-09
            0.442211,          9.20782e-09
            0.447236,          9.20839e-09
            0.452261,          9.20867e-09
            0.457286,          9.20894e-09
            0.462312,          9.20947e-09
            0.467337,          9.21082e-09
            0.472362,          9.21435e-09
            0.477387,          9.22357e-09
            0.482412,          9.24737e-09
            0.487437,          9.30649e-09
            0.492462,          9.44045e-09
            0.497487,          9.68972e-09
            0.502513,          1.00198e-08
            0.507538,          1.03041e-08
            0.512563,          1.04716e-08
            0.517588,          1.05492e-08
            0.522613,          1.05811e-08
            0.527638,          1.05935e-08
            0.532663,          1.05983e-08
            0.537688,          1.06001e-08
            0.542714,          1.06009e-08
            0.547739,          1.06012e-08
            0.552764,          1.06015e-08
            0.557789,           1.0602e-08
            0.562814,          1.06033e-08
            0.567839,          1.06067e-08
            0.572864,          1.06156e-08
            0.577889,          1.06388e-08
            0.582915,          1.06984e-08
             0.58794,          1.08442e-08
            0.592965,           1.1164e-08
             0.59799,          1.17217e-08
            0.603015,          1.23924e-08
             0.60804,          1.29156e-08
            0.613065,          1.32025e-08
             0.61809,          1.33305e-08
            0.623116,          1.33822e-08
            0.628141,          1.34023e-08
            0.633166,          1.34099e-08
            0.638191,          1.34128e-08
            0.643216,           1.3414e-08
            0.648241,          1.34144e-08
            0.653266,          1.34146e-08
            0.658291,          1.34147e-08
            0.663317,           1.3415e-08
            0.668342,          1.34157e-08
            0.673367,          1.34174e-08
            0.678392,          1.34219e-08
            0.683417,          1.34334e-08
            0.688442,          1.34614e-08
            0.693467,          1.35215e-08
            0.698492,          1.36227e-08
            0.703518,          1.37395e-08
            0.708543,          1.38294e-08
            0.713568,          1.38817e-08
            0.718593,          1.39081e-08
            0.723618,          1.39202e-08
            0.728643,          1.39252e-08
            0.733668,          1.39272e-08
            0.738693,           1.3928e-08
            0.743719,          1.39284e-08
            0.748744,          1.39289e-08
            0.753769,          1.39299e-08
            0.758794,          1.39323e-08
            0.763819,          1.39387e-08
            0.768844,          1.39553e-08
            0.773869,          1.39971e-08
            0.778894,          1.40951e-08
             0.78392,           1.4291e-08
            0.788945,          1.45847e-08
             0.79397,          1.48886e-08
            0.798995,          1.51227e-08
             0.80402,          1.52772e-08
            0.809045,          1.53643e-08
             0.81407,          1.54054e-08
            0.819095,          1.54226e-08
            0.824121,          1.54293e-08
            0.829146,          1.54319e-08
            0.834171,          1.54329e-08
            0.839196,          1.54333e-08
            0.844221,          1.54335e-08
            0.849246,          1.54336e-08
            0.854271,          1.54337e-08
            0.859296,           1.5434e-08
            0.864322,          1.54349e-08
            0.869347,          1.54371e-08
            0.874372,          1.54429e-08
            0.879397,          1.54579e-08
            0.884422,          1.54962e-08
            0.889447,          1.55881e-08
            0.894472,          1.57805e-08
            0.899497,          1.60934e-08
            0.904523,          1.64558e-08
            0.909548,          1.67753e-08
            0.914573,          1.70173e-08
            0.919598,           1.7169e-08
            0.924623,          1.72453e-08
            0.929648,          1.72782e-08
            0.934673,          1.72913e-08
            0.939698,          1.72964e-08
            0.944724,          1.72983e-08
            0.949749,          1.72991e-08
            0.954774,          1.72994e-08
            0.959799,          1.72998e-08
            0.964824,          1.73003e-08
            0.969849,          1.73018e-08
            0.974874,          1.73053e-08
            0.979899,          1.73136e-08
            0.984925,          1.73303e-08
             0.98995,          1.73587e-08
            0.994975,          1.74008e-08
                   1,          1.74551e-08

