------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          3.64545e-46
          0.00502513,          3.81845e-09
           0.0100503,          5.50441e-09
           0.0150754,          5.98207e-09
           0.0201005,           6.0989e-09
           0.0251256,          6.12642e-09
           0.0301508,          6.13284e-09
           0.0351759,          6.13434e-09
            0.040201,          6.13468e-09
           0.0452261,          6.13476e-09
           0.0502513,          6.13478e-09
           0.0552764,          6.13479e-09
           0.0603015,          6.13479e-09
           0.0653266,          6.13479e-09
           0.0703518,          6.13479e-09
           0.0753769,          6.13479e-09
            0.080402,          6.13479e-09
           0.0854271,          6.13479e-09
           0.0904523,          6.13479e-09
           0.0954774,          6.13479e-09
            0.100503,          6.13479e-09
            0.105528,          6.13479e-09
            0.110553,          6.13479e-09
            0.115578,          6.13479e-09
            0.120603,          6.13479e-09
            0.125628,          6.13479e-09
            0.130653,          6.13479e-09
            0.135678,          6.13479e-09
            0.140704,          6.13479e-09
            0.145729,          6.13479e-09
            0.150754,          6.13479e-09
            0.155779,          6.13479e-09
            0.160804,          6.13479e-09
            0.165829,          6.13479e-09
            0.170854,          6.13479e-09
            0.175879,          6.13479e-09
            0.180905,          6.13479e-09
             0.18593,          6.13479e-09
            0.190955,          6.13479e-09
             0.19598,          6.13479e-09
            0.201005,          6.13479e-09
             0.20603,          6.13479e-09
            0.211055,          6.13479e-09
             0.21608,          6.13479e-09
            0.221106,          6.13479e-09
            0.226131,          6.13479e-09
            0.231156,          6.13479e-09
            0.236181,          6.13479e-09
            0.241206,          6.13479e-09
            0.246231,          6.13479e-09
            0.251256,          6.13479e-09
            0.256281,          6.13479e-09
            0.261307,          6.13481e-09
            0.266332,          6.13488e-09
            0.271357,          6.13517e-09
            0.276382,          6.13647e-09
            0.281407,          6.14269e-09
            0.286432,           6.1762e-09
            0.291457,          6.34266e-09
            0.296482,          6.91911e-09
            0.301508,          7.98215e-09
            0.306533,          8.79295e-09
            0.311558,          9.09258e-09
            0.316583,          9.17209e-09
            0.321608,          9.19121e-09
            0.326633,          9.19569e-09
            0.331658,          9.19674e-09
            0.336683,          9.19698e-09
            0.341709,          9.19704e-09
            0.346734,          9.19705e-09
            0.351759,          9.19705e-09
            0.356784,          9.19706e-09
            0.361809,          9.19707e-09
            0.366834,          9.19713e-09
            0.371859,           9.1974e-09
            0.376884,          9.19853e-09
             0.38191,           9.2034e-09
            0.386935,          9.22391e-09
             0.39196,          9.30559e-09
            0.396985,          9.56873e-09
             0.40201,          1.00499e-08
            0.407035,          1.04176e-08
             0.41206,          1.05537e-08
            0.417085,          1.05899e-08
            0.422111,          1.05986e-08
            0.427136,          1.06006e-08
            0.432161,          1.06011e-08
            0.437186,          1.06012e-08
            0.442211,          1.06012e-08
            0.447236,          1.06012e-08
            0.452261,          1.06012e-08
            0.457286,          1.06012e-08
            0.462312,          1.06012e-08
            0.467337,          1.06012e-08
            0.472362,          1.06013e-08
            0.477387,          1.06015e-08
            0.482412,          1.06025e-08
            0.487437,          1.06064e-08
            0.492462,          1.06217e-08
            0.497487,          1.06673e-08
            0.502513,          1.07381e-08
            0.507538,          1.07837e-08
            0.512563,          1.07991e-08
            0.517588,           1.0803e-08
            0.522613,          1.08039e-08
            0.527638,          1.08042e-08
            0.532663,          1.08042e-08
            0.537688,          1.08042e-08
            0.542714,          1.08042e-08
            0.547739,          1.08043e-08
            0.552764,          1.08043e-08
            0.557789,          1.08047e-08
            0.562814,          1.08061e-08
            0.567839,          1.08124e-08
            0.572864,          1.08391e-08
            0.577889,          1.09477e-08
            0.582915,          1.13279e-08
             0.58794,          1.21783e-08
            0.592965,          1.30894e-08
             0.59799,          1.38088e-08
            0.603015,          1.45092e-08
             0.60804,          1.49238e-08
            0.613065,          1.50606e-08
             0.61809,          1.50957e-08
            0.623116,           1.5104e-08
            0.628141,           1.5106e-08
            0.633166,          1.51065e-08
            0.638191,          1.51066e-08
            0.643216,          1.51066e-08
            0.648241,          1.51066e-08
            0.653266,          1.51066e-08
            0.658291,          1.51066e-08
            0.663317,          1.51066e-08
            0.668342,          1.51067e-08
            0.673367,           1.5107e-08
            0.678392,          1.51083e-08
            0.683417,          1.51137e-08
            0.688442,          1.51366e-08
            0.693467,          1.52236e-08
            0.698492,          1.54671e-08
            0.703518,          1.58084e-08
            0.708543,          1.60307e-08
            0.713568,          1.61551e-08
            0.718593,          1.62213e-08
            0.723618,          1.62442e-08
            0.728643,          1.62501e-08
            0.733668,          1.62516e-08
            0.738693,          1.62519e-08
            0.743719,           1.6252e-08
            0.748744,           1.6252e-08
            0.753769,           1.6252e-08
            0.758794,           1.6252e-08
            0.763819,           1.6252e-08
            0.768844,          1.62522e-08
            0.773869,          1.62529e-08
            0.778894,          1.62556e-08
             0.78392,          1.62652e-08
            0.788945,          1.62908e-08
             0.79397,          1.63515e-08
            0.798995,          1.64881e-08
             0.80402,          1.66499e-08
            0.809045,          1.67317e-08
             0.81407,          1.67562e-08
            0.819095,          1.67623e-08
            0.824121,          1.67637e-08
            0.829146,          1.67641e-08
            0.834171,          1.67642e-08
            0.839196,          1.67642e-08
            0.844221,          1.67642e-08
            0.849246,          1.67642e-08
            0.854271,          1.67642e-08
            0.859296,          1.67642e-08
            0.864322,          1.67642e-08
            0.869347,          1.67644e-08
            0.874372,          1.67653e-08
            0.879397,           1.6769e-08
            0.884422,          1.67847e-08
            0.889447,          1.68496e-08
            0.894472,           1.7086e-08
            0.899497,          1.76724e-08
            0.904523,          1.83829e-08
            0.909548,           1.8929e-08
            0.914573,          1.94148e-08
            0.919598,          1.97036e-08
            0.924623,          1.98006e-08
            0.929648,          1.98256e-08
            0.934673,          1.98316e-08
            0.939698,           1.9833e-08
            0.944724,          1.98333e-08
            0.949749,          1.98334e-08
            0.954774,          1.98334e-08
            0.959799,          1.98334e-08
            0.964824,          1.98334e-08
            0.969849,          1.98335e-08
            0.974874,          1.98337e-08
            0.979899,          1.98347e-08
            0.984925,          1.98386e-08
             0.98995,          1.98549e-08
            0.994975,          1.99123e-08
                   1,           2.0045e-08

