------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -3.38361e-24
          0.00502513,          1.25955e-09
           0.0100503,          2.41721e-09
           0.0150754,          3.40158e-09
           0.0201005,          4.18474e-09
           0.0251256,          4.77548e-09
           0.0301508,          5.20342e-09
           0.0351759,          5.50441e-09
            0.040201,          5.71177e-09
           0.0452261,          5.85257e-09
           0.0502513,          5.94724e-09
           0.0552764,          6.01049e-09
           0.0603015,          6.05255e-09
           0.0653266,          6.08044e-09
           0.0703518,           6.0989e-09
           0.0753769,          6.11111e-09
            0.080402,          6.11916e-09
           0.0854271,          6.12448e-09
           0.0904523,          6.12799e-09
           0.0954774,          6.13031e-09
            0.100503,          6.13183e-09
            0.105528,          6.13284e-09
            0.110553,           6.1335e-09
            0.115578,          6.13394e-09
            0.120603,          6.13423e-09
            0.125628,          6.13442e-09
            0.130653,          6.13455e-09
            0.135678,          6.13463e-09
            0.140704,          6.13469e-09
            0.145729,          6.13472e-09
            0.150754,          6.13475e-09
            0.155779,          6.13477e-09
            0.160804,          6.13478e-09
            0.165829,           6.1348e-09
            0.170854,          6.13481e-09
            0.175879,          6.13484e-09
            0.180905,          6.13486e-09
             0.18593,          6.13491e-09
            0.190955,          6.13497e-09
             0.19598,          6.13506e-09
            0.201005,          6.13521e-09
             0.20603,          6.13542e-09
            0.211055,          6.13575e-09
             0.21608,          6.13625e-09
            0.221106,          6.13701e-09
            0.226131,          6.13817e-09
            0.231156,          6.13992e-09
            0.236181,           6.1426e-09
            0.241206,          6.14669e-09
            0.246231,          6.15297e-09
            0.251256,          6.16265e-09
            0.256281,          6.17764e-09
            0.261307,          6.20101e-09
            0.266332,          6.23758e-09
            0.271357,          6.29475e-09
            0.276382,          6.38311e-09
            0.281407,          6.51597e-09
            0.286432,          6.70627e-09
            0.291457,          6.96021e-09
            0.296482,          7.27004e-09
            0.301508,           7.6118e-09
            0.306533,          7.95204e-09
            0.311558,          8.26001e-09
            0.316583,          8.51688e-09
            0.321608,          8.71762e-09
            0.326633,          8.86703e-09
            0.331658,          8.97463e-09
            0.336683,          9.05076e-09
            0.341709,          9.10464e-09
            0.346734,          9.14375e-09
            0.351759,          9.17406e-09
            0.356784,          9.20039e-09
            0.361809,          9.22695e-09
            0.366834,          9.25782e-09
            0.371859,           9.2973e-09
            0.376884,          9.34999e-09
             0.38191,          9.42049e-09
            0.386935,          9.51247e-09
             0.39196,          9.62698e-09
            0.396985,          9.76077e-09
             0.40201,          9.90554e-09
            0.407035,          1.00496e-08
             0.41206,          1.01815e-08
            0.417085,          1.02932e-08
            0.422111,          1.03819e-08
            0.427136,          1.04488e-08
            0.432161,          1.04972e-08
            0.437186,          1.05315e-08
            0.442211,          1.05554e-08
            0.447236,          1.05721e-08
            0.452261,           1.0584e-08
            0.457286,          1.05931e-08
            0.462312,          1.06006e-08
            0.467337,           1.0608e-08
            0.472362,          1.06161e-08
            0.477387,          1.06259e-08
            0.482412,          1.06384e-08
            0.487437,          1.06539e-08
            0.492462,          1.06726e-08
            0.497487,          1.06937e-08
            0.502513,          1.07159e-08
            0.507538,          1.07378e-08
            0.512563,          1.07581e-08
            0.517588,          1.07764e-08
            0.522613,          1.07933e-08
            0.527638,            1.081e-08
            0.532663,          1.08285e-08
            0.537688,          1.08516e-08
            0.542714,          1.08827e-08
            0.547739,          1.09267e-08
            0.552764,          1.09899e-08
            0.557789,          1.10807e-08
            0.562814,          1.12092e-08
            0.567839,          1.13865e-08
            0.572864,          1.16222e-08
            0.577889,          1.19206e-08
            0.582915,          1.22765e-08
             0.58794,          1.26736e-08
            0.592965,          1.30866e-08
             0.59799,          1.34881e-08
