------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -2.43556e-24
          0.00502513,          1.17702e-09
           0.0100503,          2.33214e-09
           0.0150754,          3.44508e-09
           0.0201005,           4.4985e-09
           0.0251256,          5.47894e-09
           0.0301508,          6.37729e-09
           0.0351759,          7.18867e-09
            0.040201,          7.91206e-09
           0.0452261,          8.54957e-09
           0.0502513,          9.10569e-09
           0.0552764,           9.5865e-09
           0.0603015,          9.99902e-09
           0.0653266,          1.03506e-08
           0.0703518,          1.06486e-08
           0.0753769,          1.08999e-08
            0.080402,           1.1111e-08
           0.0854271,          1.12877e-08
           0.0904523,          1.14353e-08
           0.0954774,          1.15582e-08
            0.100503,          1.16603e-08
            0.105528,          1.17451e-08
            0.110553,          1.18154e-08
            0.115578,          1.18736e-08
            0.120603,          1.19217e-08
            0.125628,          1.19615e-08
            0.130653,          1.19944e-08
            0.135678,          1.20215e-08
            0.140704,           1.2044e-08
            0.145729,          1.20625e-08
            0.150754,          1.20778e-08
            0.155779,          1.20905e-08
            0.160804,           1.2101e-08
            0.165829,          1.21098e-08
            0.170854,          1.21171e-08
            0.175879,          1.21233e-08
            0.180905,          1.21285e-08
             0.18593,          1.21329e-08
            0.190955,          1.21368e-08
             0.19598,          1.21403e-08
            0.201005,          1.21434e-08
             0.20603,          1.21464e-08
            0.211055,          1.21494e-08
             0.21608,          1.21523e-08
            0.221106,          1.21555e-08
            0.226131,          1.21589e-08
            0.231156,          1.21627e-08
            0.236181,          1.21671e-08
            0.241206,          1.21722e-08
            0.246231,          1.21782e-08
            0.251256,          1.21854e-08
            0.256281,          1.21939e-08
            0.261307,          1.22042e-08
            0.266332,          1.22166e-08
            0.271357,          1.22315e-08
            0.276382,          1.22495e-08
            0.281407,          1.22713e-08
            0.286432,          1.22976e-08
            0.291457,          1.23294e-08
            0.296482,          1.23678e-08
            0.301508,           1.2414e-08
            0.306533,          1.24697e-08
            0.311558,          1.25366e-08
            0.316583,          1.26169e-08
            0.321608,          1.27131e-08
            0.326633,          1.28278e-08
            0.331658,          1.29642e-08
            0.336683,          1.31257e-08
            0.341709,           1.3316e-08
            0.346734,           1.3539e-08
            0.351759,          1.37983e-08
