------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         6.502175e-19
                 0.1,         1.940706e-17
                 0.2,         6.431186e-16
                 0.3,         2.450564e-14
                 0.4,         1.136462e-12
                 0.5,         6.860284e-11
                 0.6,         5.401791e-09
                 0.7,         1.565448e-07
                 0.8,         6.627384e-07
                 0.9,         1.089604e-06
                   1,         1.496479e-06
                 1.1,         2.051217e-06
                 1.2,         2.393322e-06
                 1.3,         2.565452e-06
                 1.4,         2.697339e-06
                 1.5,          2.81406e-06

