------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         7.381199e-15
                 0.1,         8.622703e-14
                 0.2,         1.426361e-12
                 0.3,         9.541937e-12
                 0.4,         1.749073e-10
                 0.5,         4.297026e-09
                 0.6,         1.569481e-07
                 0.7,         1.859456e-06
                 0.8,         4.239683e-06
                 0.9,         4.819499e-06
                   1,         4.287702e-06
                 1.1,         4.110618e-06
                 1.2,         4.662724e-06
                 1.3,         6.005579e-06
                 1.4,         7.719615e-06
                 1.5,         9.212768e-06

