------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         5.847175e-17
                 0.1,         2.133753e-15
                 0.2,         9.270495e-14
                 0.3,           5.1255e-12
                 0.4,          4.72805e-10
                 0.5,         9.447804e-15
                 0.6,         4.846542e-06
                 0.7,         7.516892e-06
                 0.8,         1.017578e-05
                 0.9,         1.191647e-05
                   1,         1.066038e-05
                 1.1,         1.060622e-05
                 1.2,         1.078409e-05
                 1.3,          1.07672e-05
                 1.4,         1.076338e-05
                 1.5,         1.081063e-05

