------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         7.734402e-11
                 0.1,         3.926202e-10
                 0.2,         2.085324e-09
                 0.3,         7.878878e-09
                 0.4,          3.73617e-08
                 0.5,         2.235134e-07
                 0.6,         9.323984e-07
                 0.7,         2.949245e-06
                 0.8,         5.613646e-06
                 0.9,         8.579507e-06
                   1,          1.10049e-05
                 1.1,         1.082603e-05
                 1.2,         1.084272e-05
                 1.3,         1.193364e-05
                 1.4,         1.302003e-05
                 1.5,          1.37104e-05

