------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,          9.21766e-18
                 0.1,          3.15759e-16
                 0.2,         1.250256e-14
                 0.3,         2.168132e-19
                 0.4,         4.564887e-11
                 0.5,         5.426008e-09
                 0.6,         5.299359e-07
                 0.7,         3.492539e-06
                 0.8,         6.199163e-06
                 0.9,          8.69662e-06
                   1,         1.078593e-05
                 1.1,         1.139528e-05
                 1.2,         1.089165e-05
                 1.3,          1.10081e-05
                 1.4,         1.123788e-05
                 1.5,         1.148429e-05

