------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         7.670516e-14
                 0.1,         2.138548e-12
                 0.2,         5.735898e-11
                 0.3,         1.406552e-09
                 0.4,         3.051354e-08
                 0.5,         4.110991e-07
                 0.6,         2.735165e-06
                 0.7,          8.34401e-06
                 0.8,         1.739992e-05
                 0.9,         2.917047e-05
                   1,         4.296012e-05
                 1.1,         5.871993e-05
                 1.2,         9.236127e-05
                 1.3,         0.0001117197
                 1.4,         0.0001137386
                 1.5,         0.0001139668

