------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         2.911674e-09
                 0.1,         2.355796e-08
                 0.2,          1.66349e-07
                 0.3,         8.762809e-07
                 0.4,         3.274675e-06
                 0.5,          8.87281e-06
                 0.6,         1.851679e-05
                 0.7,         3.165722e-05
                 0.8,         5.108501e-05
                 0.9,         7.471918e-05
                   1,         0.0001002534
                 1.1,         0.0001288686
                 1.2,         0.0001649393
                 1.3,         0.0002000876
                 1.4,         0.0002523675
                 1.5,         0.0002795298

