------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         2.138686e-08
                 0.1,         1.474914e-07
                 0.2,         7.680223e-07
                 0.3,         2.840007e-06
                 0.4,         7.671034e-06
                 0.5,         1.626287e-05
                 0.6,         2.916981e-05
                 0.7,         4.562259e-05
                 0.8,         6.794418e-05
                 0.9,         9.331706e-05
                   1,         0.0001199985
                 1.1,         0.0001529093
                 1.2,         0.0001849429
                 1.3,         0.0002272836
                 1.4,          0.000271451
                 1.5,         0.0003006727

