------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         3.844521e-14
                 0.1,         1.093383e-12
                 0.2,         2.993041e-11
                 0.3,          7.65256e-10
                 0.4,         1.737956e-08
                 0.5,         2.708466e-07
                 0.6,         2.119541e-06
                 0.7,         7.230683e-06
                 0.8,         1.598514e-05
                 0.9,         2.757602e-05
                   1,         4.096093e-05
                 1.1,         5.544885e-05
                 1.2,         7.914154e-05
                 1.3,         0.0001092197
                 1.4,         0.0001118969
                 1.5,         0.0001121729

