------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         1.072011e-08
                 0.1,         3.347304e-08
                 0.2,         9.703824e-08
                 0.3,         2.556572e-07
                 0.4,         5.912911e-07
                 0.5,         1.139514e-06
                 0.6,         1.951358e-06
                 0.7,         3.089198e-06
                 0.8,         4.688015e-06
                 0.9,         6.656617e-06
                   1,         9.108967e-06
                 1.1,         1.056428e-05
                 1.2,         1.260855e-05
                 1.3,         1.420442e-05
                 1.4,         1.495269e-05
                 1.5,         1.708436e-05

