------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         4.539771e-15
                 0.1,         1.280992e-13
                 0.2,         3.393151e-12
                 0.3,         8.807683e-11
                 0.4,         1.934956e-09
                 0.5,         3.440925e-08
                 0.6,         2.238064e-07
                 0.7,         6.786782e-07
                 0.8,         1.338975e-06
                 0.9,         1.968915e-06
                   1,         2.524742e-06
                 1.1,         3.095744e-06
                 1.2,         3.688267e-06
                 1.3,         4.117421e-06
                 1.4,         4.352117e-06
                 1.5,         4.427604e-06

