------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         9.607279e-06
                 0.1,         1.568318e-05
                 0.2,         2.400968e-05
                 0.3,         3.470074e-05
                 0.4,         5.006867e-05
                 0.5,         6.715261e-05
                 0.6,         9.006918e-05
                 0.7,         0.0001181988
                 0.8,         0.0001506634
                 0.9,         0.0001903812
                   1,          0.000229223
                 1.1,         0.0002766418
                 1.2,         0.0003252223
                 1.3,         0.0004147598
                 1.4,         0.0004863097
                 1.5,         0.0005358308

