------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,          2.56723e-25
           0.0344828,          1.03874e-09
           0.0689655,          2.40108e-09
            0.103448,          4.35802e-09
            0.137931,          6.97569e-09
            0.172414,          9.94418e-09
            0.206897,          1.26919e-08
            0.241379,          1.47978e-08
            0.275862,          1.62145e-08
            0.310345,          1.71375e-08
            0.344828,          1.78164e-08
             0.37931,          1.84719e-08
            0.413793,          1.92749e-08
            0.448276,          2.03248e-08
            0.482759,          2.16468e-08
            0.517241,          2.32896e-08
            0.551724,          2.54816e-08
            0.586207,          2.86642e-08
             0.62069,          3.32741e-08
            0.655172,          3.92781e-08
            0.689655,          4.58193e-08
            0.724138,          5.16309e-08
            0.758621,          5.59478e-08
            0.793103,          5.88174e-08
            0.827586,          6.07298e-08
            0.862069,          6.22445e-08
            0.896552,           6.3852e-08
            0.931034,          6.59196e-08
            0.965517,          6.85617e-08
                   1,           7.1494e-08

