------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,         -1.19832e-29
           0.0344828,          5.37225e-13
           0.0689655,           9.3916e-12
            0.103448,          1.62318e-10
            0.137931,          2.46075e-09
            0.172414,           1.3107e-08
            0.206897,          1.74335e-08
            0.241379,            1.777e-08
            0.275862,          1.77897e-08
            0.310345,          1.77908e-08
            0.344828,           1.7791e-08
             0.37931,          1.77925e-08
            0.413793,          1.78192e-08
            0.448276,          1.82429e-08
            0.482759,          2.09494e-08
            0.517241,          2.26024e-08
            0.551724,          2.27551e-08
            0.586207,          2.28302e-08
             0.62069,          2.39516e-08
            0.655172,          3.65856e-08
            0.689655,          5.80617e-08
            0.724138,           6.1515e-08
            0.758621,          6.17337e-08
            0.793103,          6.17464e-08
            0.827586,          6.17471e-08
            0.862069,           6.1748e-08
            0.896552,          6.17623e-08
            0.931034,          6.20072e-08
            0.965517,          6.53864e-08
                   1,          7.60405e-08

