------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         8.267429e-12
                 0.1,         1.183787e-10
                 0.2,         1.801942e-09
                 0.3,         3.131492e-08
                 0.4,         5.568162e-07
                 0.5,         9.035017e-06
                 0.6,         8.962779e-06
                 0.7,         1.683908e-05
                 0.8,         2.538006e-05
                 0.9,         3.364845e-05
                   1,         4.165872e-05
                 1.1,         4.910362e-05
                 1.2,         5.508358e-05
                 1.3,         5.995607e-05
                 1.4,         6.333284e-05
                 1.5,         6.547256e-05

