------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,          7.54353e-06
                 0.1,         1.246463e-05
                 0.2,          1.81512e-05
                 0.3,         2.475084e-05
                 0.4,         3.282771e-05
                 0.5,         3.991341e-05
                 0.6,         4.510956e-05
                 0.7,         5.230049e-05
                 0.8,         6.049717e-05
                 0.9,         6.700692e-05
                   1,          7.29986e-05
                 1.1,         7.847929e-05
                 1.2,         8.318145e-05
                 1.3,           8.6867e-05
                 1.4,         9.004006e-05
                 1.5,         9.216154e-05

