------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         7.148989e-18
                 0.1,         2.417137e-16
                 0.2,         9.411991e-15
                 0.3,         1.387576e-19
                 0.4,         3.237053e-11
                 0.5,         3.695238e-09
                 0.6,         3.929563e-07
                 0.7,         3.214975e-06
                 0.8,         5.925968e-06
                 0.9,         8.448212e-06
                   1,         1.054742e-05
                 1.1,         1.141748e-05
                 1.2,         1.082733e-05
                 1.3,         1.094851e-05
                 1.4,         1.115305e-05
                 1.5,         1.140379e-05

