------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,          5.10374e-19
                 0.1,         1.508836e-17
                 0.2,         4.939073e-16
                 0.3,         1.852108e-14
                 0.4,         8.407252e-13
                 0.5,         4.932714e-11
                 0.6,         3.841253e-09
                 0.7,         1.301652e-07
                 0.8,         6.204855e-07
                 0.9,         1.061584e-06
                   1,         1.467296e-06
                 1.1,         2.028803e-06
                 1.2,         2.382804e-06
                 1.3,         2.555392e-06
                 1.4,         2.690175e-06
                 1.5,         2.805748e-06

