------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         5.825687e-06
                 0.1,          8.60644e-06
                 0.2,         1.159027e-05
                 0.3,         1.481961e-05
                 0.4,         1.975054e-05
                 0.5,         3.422753e-05
                 0.6,         6.206793e-05
                 0.7,         3.130651e-05
                 0.8,         3.654757e-05
                 0.9,         4.221318e-05
                   1,         4.805932e-05
                 1.1,         5.391599e-05
                 1.2,         5.959539e-05
                 1.3,         6.454231e-05
                 1.4,           6.8612e-05
                 1.5,         7.166537e-05

