------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         6.929776e-22
                 0.1,         1.624563e-15
                 0.2,         6.917982e-14
                 0.3,         3.721269e-12
                 0.4,         2.456261e-10
                 0.5,         9.170132e-15
                 0.6,         4.551867e-06
                 0.7,         7.176774e-06
                 0.8,          9.85479e-06
                 0.9,         1.176582e-05
                   1,         1.078723e-05
                 1.1,         1.052184e-05
                 1.2,         1.069634e-05
                 1.3,         1.069056e-05
                 1.4,         1.069232e-05
                 1.5,         1.074517e-05

