------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         3.075805e-11
                 0.1,         1.516796e-10
                 0.2,         7.831161e-10
                 0.3,         2.919645e-09
                 0.4,         1.332213e-08
                 0.5,         7.637854e-08
                 0.6,         4.436907e-07
                 0.7,          1.73756e-06
                 0.8,         4.455907e-06
                 0.9,         8.110552e-06
                   1,         1.053531e-05
                 1.1,         1.008683e-05
                 1.2,         1.039664e-05
                 1.3,         1.125594e-05
                 1.4,         1.282947e-05
                 1.5,          1.35974e-05

