------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         7.281553e-05
                 0.2,         0.0001189977
                 0.3,         0.0001406397
                 0.4,         0.0001552252
                 0.5,         0.0001678472
                 0.6,         0.0001792962
                 0.7,         0.0001898627
                 0.8,         0.0002019224
                 0.9,         0.0001708727
                   1,         0.0002213534

