------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         2.176211e-06
                 0.2,         3.431835e-06
                 0.3,         4.686435e-06
                 0.4,         5.950386e-06
                 0.5,         7.328571e-06
                 0.6,         8.656148e-06
                 0.7,         1.003607e-05
                 0.8,         1.100206e-05
                 0.9,         1.273003e-05
                   1,         1.405341e-05

