------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         1.214568e-07
                 0.2,         1.498509e-07
                 0.3,         1.766475e-07
                 0.4,         2.003368e-07
                 0.5,         2.264355e-07
                 0.6,          2.49076e-07
                 0.7,         2.739478e-07
                 0.8,         2.974031e-07
                 0.9,         3.213244e-07
                   1,         3.446393e-07

