------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         4.466195e-05
                 0.2,         7.362092e-05
                 0.3,         8.443358e-05
                 0.4,         8.993599e-05
                 0.5,         9.545508e-05
                 0.6,         9.951062e-05
                 0.7,          0.000103745
                 0.8,         0.0001076074
                 0.9,         0.0001113111
                   1,         0.0001144603

