------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         2.080225e-05
                 0.2,         3.412559e-05
                 0.3,         3.689537e-05
                 0.4,         3.820643e-05
                 0.5,         3.905591e-05
                 0.6,          3.93424e-05
                 0.7,         4.015394e-05
                 0.8,         4.038946e-05
                 0.9,         4.095027e-05
                   1,         4.126639e-05

