------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         5.949239e-14
                 0.1,         1.663035e-12
                 0.2,         4.476747e-11
                 0.3,         1.102793e-09
                 0.4,         2.437255e-08
                 0.5,         3.443634e-07
                 0.6,         2.441281e-06
                 0.7,          7.80793e-06
                 0.8,         1.665158e-05
                 0.9,          2.82568e-05
                   1,          4.18507e-05
                 1.1,         5.703959e-05
                 1.2,         8.029531e-05
                 1.3,         0.0001103683
                 1.4,         0.0001129984
                 1.5,         0.0001131905

