------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,          2.68106e-11
                 0.1,         2.413565e-10
                 0.2,         2.018688e-09
                 0.3,         1.463691e-08
                 0.4,         8.907663e-08
                 0.5,         3.539133e-07
                 0.6,          8.66685e-07
                 0.7,         1.634598e-06
                 0.8,         2.722401e-06
                 0.9,         4.077851e-06
                   1,         5.556388e-06
                 1.1,         6.754967e-06
                 1.2,         7.790614e-06
                 1.3,         8.887651e-06
                 1.4,         9.838407e-06
                 1.5,         1.075078e-05

