------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         1.336511e-08
                 0.1,          9.73543e-08
                 0.2,         5.479261e-07
                 0.3,          2.19536e-06
                 0.4,         6.399646e-06
                 0.5,         1.418434e-05
                 0.6,         2.627922e-05
                 0.7,         4.048451e-05
                 0.8,         6.368719e-05
                 0.9,         8.880689e-05
                   1,         0.0001149548
                 1.1,         0.0001460962
                 1.2,         0.0001838974
                 1.3,         0.0002204309
                 1.4,         0.0002741324
                 1.5,         0.0002967861

