------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         5.922026e-09
                 0.1,          1.93215e-08
                 0.2,         5.917362e-08
                 0.3,         1.698223e-07
                 0.4,         4.305101e-07
                 0.5,         9.124546e-07
                 0.6,         1.668614e-06
                 0.7,         2.744658e-06
                 0.8,         4.267833e-06
                 0.9,         6.189441e-06
                   1,         8.665222e-06
                 1.1,         1.011185e-05
                 1.2,         1.222761e-05
                 1.3,         1.383127e-05
                 1.4,         1.531641e-05
                 1.5,         1.671639e-05

