------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         9.547488e-06
                 0.2,         6.875028e-06
                 0.3,         5.421719e-06
                 0.4,         6.756724e-06
                 0.5,         1.243996e-11
                 0.6,         1.244041e-11
                 0.7,         1.244041e-11
                 0.8,         1.244041e-11
                 0.9,         1.244041e-11
                   1,         1.244697e-11

