------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         7.432769e-05
                 0.2,         0.0001167461
                 0.3,         0.0001055932
                 0.4,         0.0001080761
                 0.5,         0.0001082387
                 0.6,           0.00010662
                 0.7,         0.0001091786
                 0.8,         0.0001080144
                 0.9,           0.00010752
                   1,         0.0001074101

