------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         8.344808e-06
                 0.2,         1.446075e-05
                 0.3,         2.087095e-05
                 0.4,         2.702294e-05
                 0.5,         3.351774e-05
                 0.6,         4.002194e-05
                 0.7,         4.543525e-05
                 0.8,         5.349281e-05
                 0.9,         6.025486e-05
                   1,         6.566711e-05

