------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         1.473564e-07
                 0.2,         1.822118e-07
                 0.3,         2.136823e-07
                 0.4,         2.420433e-07
                 0.5,         2.714729e-07
                 0.6,         2.996601e-07
                 0.7,          3.28554e-07
                 0.8,         3.564286e-07
                 0.9,          3.84557e-07
                   1,         4.118546e-07

