------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         2.133557e-05
                 0.2,         3.428971e-05
                 0.3,         3.786046e-05
                 0.4,         3.918565e-05
                 0.5,         4.025127e-05
                 0.6,         4.037009e-05
                 0.7,         4.116693e-05
                 0.8,         4.124852e-05
                 0.9,         4.191967e-05
                   1,         4.228013e-05

