------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         4.653601e-05
                 0.2,         7.896471e-05
                 0.3,         8.886432e-05
                 0.4,         8.473652e-05
                 0.5,         0.0001000665
                 0.6,         9.073442e-05
                 0.7,         0.0001082397
                 0.8,         0.0001126521
                 0.9,          0.000116417
                   1,         0.0001022031

