------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         2.757122e-06
                 0.2,         4.311642e-06
                 0.3,         5.780416e-06
                 0.4,         7.245857e-06
                 0.5,         8.771146e-06
                 0.6,         1.021632e-05
                 0.7,         1.172269e-05
                 0.8,         1.263198e-05
                 0.9,         1.466745e-05
                   1,         1.609139e-05

