------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         4.313137e-05
                 0.2,         8.357439e-05
                 0.3,         0.0001365469
                 0.4,         0.0001539802
                 0.5,         0.0001673971
                 0.6,         0.0001714198
                 0.7,         0.0001712666
                 0.8,         0.0001715567
                 0.9,         0.0001714906
                   1,         0.0001714814

