------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,          1.53077e-05
                 0.2,         2.099625e-05
                 0.3,         1.954951e-05
                 0.4,         1.025249e-05
                 0.5,         4.362715e-06
                 0.6,         3.882041e-05
                 0.7,         2.622713e-05
                 0.8,         2.621325e-05
                 0.9,         3.797133e-10
                   1,         3.887646e-10

