------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         1.175662e-06
                 0.2,         2.020633e-06
                 0.3,         4.590774e-06
                 0.4,         4.487139e-06
                 0.5,         3.225605e-06
                 0.6,         3.514656e-06
                 0.7,         3.502386e-06
                 0.8,         3.504908e-06
                 0.9,         3.504908e-06
                   1,         4.916565e-06

