------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,                    0
                 0.1,         2.024836e-05
                 0.2,         2.089604e-05
                 0.3,         2.644697e-05
                 0.4,         2.373574e-05
                 0.5,          2.27335e-05
                 0.6,         2.488291e-05
                 0.7,         2.570263e-05
                 0.8,         2.693815e-05
                 0.9,         2.852163e-05
                   1,         5.380408e-05

